signal_date,strategy_ret,benchmark_ret,low_momentum_ret,long_short_ret
2016-01-29,0.040385631294200204,0.0137328038996349,0.01518553460222119,0.025200096691979014
2016-02-29,0.11564472692946155,0.1189156007987386,0.18162260067074648,-0.06597787374128493
2016-03-31,0.01595821191497682,0.0070078846866616,0.02061614919193493,-0.00465793727695811
2016-04-29,-0.026235896291881163,-0.0314019570486991,-0.036016569905155844,0.009780673613274681
2016-05-31,0.010611753209456327,0.0230607755893252,0.028903837452237593,-0.018292084242781267
2016-06-30,-0.03449809756417757,-0.0003697922291272,0.011460976802271799,-0.04595907436644937
2016-07-29,0.04109175063222858,0.0445551685304979,0.05890443189443092,-0.01781268126220234
2016-08-31,0.01562043012864227,0.0103753361289231,-0.001489033278002262,0.017109463406644532
2016-09-30,0.0015341443808649154,0.0093459828248567,0.019058368075050743,-0.017524223694185825
2016-10-31,0.013071980401703404,0.0179042555643482,0.007117190487854175,0.005954789913849228
2016-11-30,-0.030974019614969386,-0.0458466866028527,-0.06096970360149881,0.029995683986529423
2016-12-30,-0.011474090827148531,-0.0179835969092324,-0.038338180847441235,0.026864090020292705
2017-01-26,0.06555368345288212,0.041976191742024,0.057333425187790145,0.008220258265091977
2017-02-28,0.005603067282474826,0.0111833682765274,-0.004424342700606348,0.010027409983081173
2017-03-31,-0.025256759785314917,-0.0495201048322853,-0.0775197079038464,0.05226294811853148
2017-04-28,-0.07111120322090221,-0.081419086856571,-0.09877733279758934,0.027666129576687126
2017-05-31,0.07582267016574792,0.0818563922942205,0.10208605593465121,-0.02626338576890329
2017-06-30,0.010233358618172898,0.0176676271570563,0.022946703323738597,-0.0127133447055657
2017-07-31,0.05116895907399679,0.0381704403376101,0.057734737833352666,-0.006565778759355878
2017-08-31,0.01652566572962563,0.0232697464184479,0.023213938632355043,-0.006688272902729414
2017-09-29,-0.03238047256271034,-0.0187800316544306,-0.0388016257776412,0.006421153214930864
2017-10-31,-0.022777211475260694,-0.0360967197979535,-0.0552416666447171,0.03246445516945641
