signal_date,gross_return,trade_value,one_way_turnover,transaction_cost,net_return
2016-01-29,0.027087734301732738,1.0,0.5,0.001,0.026060646567431123
2016-02-29,0.12975476482509174,1.263926581695811,0.6319632908479055,0.001263926581695811,0.1283268377470319
2016-03-31,0.014945092371041316,1.3154476207623769,0.6577238103811884,0.0013154476207623768,0.013609985264077196
2016-04-29,-0.03627659611709703,1.491774745352261,0.7458873726761305,0.001491774745352261,-0.03771425435251441
2016-05-31,0.04384925176648469,1.4480086472213465,0.7240043236106732,0.0014480086472213466,0.04233774902353127
2016-06-30,0.009192781312947101,1.4357286869177157,0.7178643434588579,0.0014357286869177157,0.007743854286185847
2016-07-29,0.038099508230757036,1.3688091978609505,0.6844045989304752,0.0013688091978609504,0.03667854807559601
2016-08-31,0.005363755902514645,1.527405514323551,0.7637027571617755,0.001527405514323551,0.0038281577578480608
2016-09-30,0.017071339453655993,1.4372424830629886,0.7186212415314943,0.0014372424830629887,0.015609561316287435
2016-10-31,0.028197064750802938,1.3128158048926681,0.6564079024463341,0.001312815804892668,0.02684723139365386
2016-11-30,-0.030970608309165766,1.2738665183266673,0.6369332591633337,0.0012738665183266674,-0.03220502240651513
2016-12-30,-0.007439652610501196,1.5175457409816318,0.7587728704908159,0.0015175457409816319,-0.008945908338349295
2017-01-26,0.03651204786236932,1.3306631478209239,0.6653315739104619,0.0013306631478209238,0.035132799478006405
2017-02-28,0.029194960447088584,1.0978251021371155,0.5489125510685577,0.0010978251021371156,0.028065084384516936
2017-03-31,-0.04662051672427699,1.4998798667029485,0.7499399333514742,0.0014998798667029485,-0.04805047141656993
2017-04-28,-0.07275405997345862,1.4349197857363962,0.7174598928681981,0.0014349197857363963,-0.07408458351904645
2017-05-31,0.08159214318549372,1.348910858704377,0.6744554293521885,0.001348910858704377,0.08013317179886159
2017-06-30,0.025891084617995205,1.2126235601700834,0.6063117800850417,0.0012126235601700834,0.02464706491861901
2017-07-31,0.024504212038882,1.4563624250216047,0.7281812125108024,0.0014563624250216048,0.023012162600192232
2017-08-31,0.031183154785700738,1.3595068626096296,0.6797534313048148,0.0013595068626096297,0.02978125421016209
2017-09-29,-0.022145008177192515,1.29159693194655,0.645798465973275,0.00129159693194655,-0.02340800268451959
2017-10-31,-0.0324766672432688,1.512808983006086,0.756404491503043,0.001512808983006086,-0.03394034523233114
2017-11-30,0.010933153048483038,1.4506564847892525,0.7253282423946262,0.0014506564847892524,0.009466636314324761
2017-12-29,-0.044477042385651394,1.307603979382861,0.6538019896914306,0.0013076039793828611,-0.04572648800741963
