factor,G1_avg_monthly_ret,G2_avg_monthly_ret,G3_avg_monthly_ret,G4_avg_monthly_ret,G5_avg_monthly_ret,rank_ic_mean,rank_ic_positive_ratio,G4_net_annual_return,G4_net_sharpe,G4_net_max_drawdown,G4_avg_one_way_turnover,G5_net_annual_return,G5_net_sharpe,G5_net_max_drawdown,G5_avg_one_way_turnover
momentum_20_5,0.005823969267886389,0.006625489900250852,0.007625465741177449,0.006717667468591883,0.005912628691668372,-0.018641050082857165,0.4661016949152542,0.0370237519332528,0.16142547001776678,-0.4211538479429233,0.8001780097277978,0.026646162328599843,0.11425895089182113,-0.40227095939551494,0.7617119132161934
momentum_60_5,0.005351619163288138,0.006554901159860049,0.007208552572684695,0.007602807213730113,0.005983605103597168,-0.023209892152959096,0.4576271186440678,0.05058296713783905,0.22130973669423903,-0.34958016738949527,0.704679572564085,0.032651056014134205,0.1352034955838352,-0.4480567490252859,0.4794581439085941
momentum_120_5,0.003473838401419481,0.005023383395529839,0.007375990293566704,0.009889301121779057,0.006961394920067888,-0.0018677342939012456,0.5084745762711864,0.08391085131395437,0.37746655411212454,-0.320623532777892,0.5993970930776333,0.05040406124247121,0.21824613260168013,-0.43328542584671526,0.3519886524485232
